conversion_id,campaign_id,customer_id,conversion_date,conversion_type,conversion_value,attribution_model,time_to_convert_days
6657,379,34365,2025-07-29,Download,803700.15,First Click,32
6658,495,47096,2024-12-10,Contact,1854735.21,Time Decay,69
6659,421,26133,2025-08-03,Download,2323342.4,Linear,86
6660,341,218,2024-01-18,Download,1966513.14,Last Click,30
6661,223,40262,2024-10-25,Add to Cart,1745652.48,Linear,36
6662,163,46961,2024-03-09,Sign Up,1329895.96,Time Decay,19
6663,418,18817,2024-10-20,Download,99501.53,Time Decay,80
6664,97,18041,2024-08-27,Contact,2123244.01,Time Decay,77
6665,341,26721,2024-07-26,Download,2363136.27,Last Click,39
6666,272,4570,2024-02-16,Contact,372958.69,Linear,18
6667,234,18816,2023-11-29,Sign Up,1409999.81,Time Decay,69
6668,355,9106,2024-05-20,Add to Cart,1198320.28,Last Click,54
6669,149,58365,2024-04-08,Contact,927358.47,Last Click,6
6670,13,48302,2024-12-01,Download,1304426.54,Last Click,84
6671,91,27440,2025-02-25,Download,1654980.03,Linear,54
6672,393,37538,2024-08-16,Add to Cart,221300.72,Time Decay,54
6673,239,4659,2025-10-24,Download,,Linear,20
6674,86,7615,2024-01-15,Contact,2003473.54,Last Click,27
6675,438,22468,2024-11-28,Purchase,858211.84,First Click,90
6676,42,28993,2025-06-05,Sign Up,2428702.88,Time Decay,35
6677,342,9469,2025-09-05,Purchase,1507651.4,Linear,76
6678,453,38640,2023-12-27,Contact,330652.81,Linear,50
6679,269,44697,2024-12-11,Add to Cart,1772379.96,Linear,14
6680,393,29564,2025-01-27,Purchase,879776.33,Time Decay,1
6681,225,48519,2024-12-19,Download,105924.36,Time Decay,23
6682,115,43561,2025-09-18,Sign Up,1643292.46,Time Decay,14
6683,342,44366,2024-12-11,Contact,1444229.55,Time Decay,90
6684,253,52738,2025-08-07,Download,1337472.79,Last Click,22
6685,390,3286,2024-06-03,Contact,559786.15,Linear,49
6686,30,43843,2024-11-29,Purchase,2116318.94,First Click,74
6687,10,52735,2024-08-02,Add to Cart,2313270.85,First Click,17
6688,359,8389,2025-01-24,Contact,1792383.75,Time Decay,20
6689,346,8776,2024-04-07,Download,745136.95,Time Decay,57
6690,490,55982,2023-12-26,Purchase,2518007.76,First Click,78
6691,238,31623,2025-02-08,Contact,1595714.27,Linear,4
6692,124,36737,2025-01-15,Download,1447167.99,Time Decay,76
6693,490,1402,2025-04-02,Purchase,1260384.12,Last Click,10
6694,229,48777,2025-09-25,Contact,1191884.84,Last Click,77
6695,315,24460,2024-07-17,Download,1720333.28,First Click,70
6696,161,27884,2024-12-17,Contact,2592287.25,Last Click,30
6697,338,42095,2024-01-26,Contact,2862506.01,Linear,14
6698,313,39007,2024-07-22,Download,1656167.85,Time Decay,57
6699,214,34719,2023-12-13,Add to Cart,2719893.89,Time Decay,56
6700,291,43592,2024-07-22,Sign Up,1519293.27,Time Decay,54
6701,414,55893,2025-05-09,Purchase,65090.79,Linear,1
6702,376,5675,2024-05-14,Sign Up,1788010.64,Linear,47
6703,377,38639,2025-08-19,Purchase,861732.23,Last Click,27
6704,259,8206,2024-08-16,Add to Cart,2728008.65,Linear,51
6705,189,25010,2025-02-13,Add to Cart,662748.29,Linear,27
6706,432,38407,2024-04-14,Contact,2343418.82,First Click,17
6707,393,18622,2024-10-13,Contact,1715682.86,Last Click,11
6708,32,29104,2024-11-06,Add to Cart,1091604.98,Linear,11
6709,130,24696,2024-06-23,Purchase,1051985.19,Last Click,14
6710,6,21139,2023-12-31,Add to Cart,2992271.77,Last Click,89
6711,296,50840,2024-09-30,Purchase,2009032.61,Last Click,77
6712,337,53405,2024-07-30,Purchase,494993.85,Linear,82
6713,120,13027,2024-09-02,Sign Up,396094.23,Linear,85
6714,321,55749,2025-01-28,Sign Up,2944690.01,Time Decay,38
6715,23,19139,2025-06-12,Contact,762922.88,First Click,8
6716,128,17709,2025-10-20,Sign Up,2562694.66,Linear,49
6717,113,30228,2024-02-15,Download,304520.44,Linear,86
6718,410,33160,2024-02-01,Purchase,980114.45,Last Click,48
6719,430,5073,2025-01-02,Download,1363441.45,Time Decay,40
6720,493,47262,2024-07-14,Contact,1039822.02,Time Decay,77
6721,494,15937,2025-08-11,Sign Up,807069.22,Time Decay,69
6722,119,56129,2023-12-10,Contact,2290065.41,Linear,0
6723,242,23020,2025-07-19,Contact,2374442.05,First Click,29
6724,196,17115,2025-05-28,Purchase,505835.31,Time Decay,17
6725,118,59710,2023-12-05,Purchase,2641477.37,Last Click,54
6726,11,8283,2024-12-21,Purchase,1302764.93,Last Click,85
6727,95,55052,2024-09-05,Purchase,2547978.8,Linear,76
6728,442,30232,2025-03-10,Purchase,1947668.71,First Click,63
6729,250,54217,2024-07-12,Sign Up,1014504.35,Time Decay,44
6730,245,56186,2024-07-11,Contact,2240540.16,Last Click,30
6731,463,37887,2024-04-02,Download,1936216.84,Time Decay,42
6732,124,31768,2025-05-03,Contact,155615.14,Linear,88
6733,243,37325,2024-06-12,Contact,1793839.05,Linear,22
6734,488,59949,2025-11-04,Download,2289386.64,First Click,66
6735,291,29515,2023-12-03,Add to Cart,854813.81,Last Click,44
6736,485,32685,2025-10-18,Contact,245317.53,Time Decay,58
6737,499,42013,2025-01-22,Contact,1029136.48,Linear,53
6738,212,4372,2025-02-22,Sign Up,249447.46,Last Click,64
6739,62,51052,2025-10-14,Sign Up,153749.63,Last Click,64
6740,16,8344,2024-09-20,Purchase,62821.77,Last Click,59
6741,248,48549,2025-02-22,Purchase,2185633.25,First Click,53
6742,353,38564,2024-03-13,Contact,1386560.05,Time Decay,49
6743,163,54652,2025-03-07,Sign Up,1655813.81,Time Decay,45
6744,9,41016,2024-12-23,Add to Cart,1664927.32,First Click,63
6745,62,32185,2024-11-18,Download,1866661.45,Linear,10
6746,481,44272,2024-04-26,Contact,2905673.2,Time Decay,19
6747,462,30293,2025-06-20,Purchase,229254.6,Last Click,61
6748,354,4945,2025-04-23,Add to Cart,,Last Click,1
6749,306,22184,2025-05-31,Add to Cart,1528484.92,Last Click,84
6750,215,23529,2024-07-03,Sign Up,858567.14,Last Click,64
6751,64,27955,2025-10-09,Add to Cart,2245668.2,Linear,65
6752,308,36130,2025-01-11,Contact,82371.54,Time Decay,69
6753,493,43699,2023-12-14,Purchase,474979.61,Last Click,31
6754,500,57991,2024-10-13,Add to Cart,2273521.53,Time Decay,59
6755,254,42702,2024-08-20,Purchase,2280843.94,Time Decay,35
6756,17,55709,2024-12-18,Contact,1211836.6,First Click,74
6757,237,51171,2024-03-19,Purchase,1988083.25,First Click,39
6758,322,20978,2025-05-09,Sign Up,2668694.68,Linear,3
6759,189,946,2024-02-02,Purchase,885146.1,Time Decay,24
6760,266,29813,2024-12-27,Contact,2572052.77,First Click,66
6761,438,43310,2024-02-10,Contact,1566089.4,Linear,13
6762,443,52131,2024-12-17,Sign Up,2361736.66,Linear,52
6763,116,31727,2025-06-13,Contact,2974426.8,First Click,21
6764,183,4180,2023-12-08,Sign Up,1388555.18,Last Click,33
6765,68,20790,2025-03-20,Download,673013.04,Last Click,33
6766,368,34050,2024-11-12,Purchase,1662412.66,Time Decay,69
6767,327,57192,2024-04-03,Purchase,1407090.8,Linear,75
6768,321,21525,2024-04-16,Contact,1201319.9,First Click,65
6769,181,8604,2024-01-14,Add to Cart,2911201.59,Linear,39
6770,278,35985,2025-05-27,Sign Up,2997643.47,Linear,58
6771,280,48638,2024-10-24,Purchase,2728114.35,Linear,52
6772,136,32776,2025-10-06,Purchase,693979.26,Last Click,15
6773,329,23266,2024-07-04,Download,2604380.54,Linear,34
6774,11,11894,2024-06-16,Download,2367026.03,First Click,9
6775,416,45609,2024-10-16,Add to Cart,1980641.73,Linear,76
6776,22,33757,2024-02-08,Add to Cart,2901851.95,First Click,66
6777,459,31686,2025-07-31,Download,2742730.77,First Click,7
6778,224,551,2025-11-03,Purchase,406524.32,Last Click,41
6779,379,567,2024-10-03,Sign Up,119637.46,Last Click,6
6780,125,31638,2024-03-24,Purchase,89224.0,Time Decay,46
6781,134,45041,2024-03-23,Sign Up,329793.31,Linear,35
6782,228,6407,2024-09-13,Sign Up,635244.13,First Click,11
6783,4,39440,2025-02-15,Contact,652567.11,First Click,22
6784,397,14504,2024-05-05,Contact,1616606.44,Last Click,86
6785,398,57202,2025-02-13,Purchase,775317.58,Linear,58
6786,246,57215,2025-02-16,Add to Cart,2289327.57,Time Decay,17
6787,48,45737,2024-08-13,Purchase,2040059.24,First Click,41
6788,432,26511,2025-03-21,Download,795828.83,Linear,23
6789,217,20325,2024-11-13,Download,1735934.6,Linear,12
6790,116,46375,2024-02-28,Add to Cart,1919130.83,Last Click,39
6791,457,29889,2025-03-23,Download,2977460.58,Linear,55
6792,302,42168,2023-12-30,Contact,1087847.06,First Click,85
6793,493,16399,2025-09-15,Sign Up,96354.3,Last Click,12
6794,290,25521,2025-07-04,Purchase,248570.58,Time Decay,64
6795,78,59468,2024-08-05,Purchase,2428872.08,Last Click,43
6796,436,53480,2024-03-30,Sign Up,2769618.99,Last Click,83
6797,404,33285,2025-04-19,Contact,282738.4,First Click,81
6798,380,18047,2024-11-26,Download,2538613.77,Last Click,12
6799,402,24854,2025-03-17,Purchase,2062566.75,First Click,58
6800,119,41626,2025-09-19,Download,2215522.65,Last Click,28
6801,439,53056,2024-10-17,Download,1195001.3,Time Decay,86
6802,317,22624,2024-04-30,Download,2343142.73,Time Decay,37
6803,487,16735,2023-12-12,Contact,1246168.02,Linear,85
6804,260,2876,2024-04-02,Contact,2600909.19,Last Click,15
6805,151,1238,2024-07-24,Download,1513079.66,Time Decay,51
6806,135,26841,2024-08-01,Add to Cart,2713897.1,Time Decay,9
6807,250,54269,2025-07-26,Contact,1547435.57,First Click,34
6808,376,31296,2024-01-08,Add to Cart,1660230.19,Last Click,38
6809,402,41125,2025-10-23,Download,2725496.24,Time Decay,63
6810,149,38909,2024-10-02,Purchase,1667639.33,Time Decay,24
6811,170,47449,2024-10-11,Sign Up,2794241.86,First Click,50
6812,137,1312,2024-06-08,Download,1108730.69,First Click,5
6813,164,51703,2025-06-07,Sign Up,2070365.39,Linear,86
6814,462,45795,2024-10-14,Sign Up,1409203.68,Time Decay,21
6815,85,35805,2024-08-12,Contact,1477934.0,Linear,58
6816,392,43962,2025-07-02,Purchase,2936562.67,Last Click,21
6817,474,35012,2025-10-18,Add to Cart,2622231.06,Time Decay,18
6818,381,23783,2024-03-04,Purchase,2084743.13,Time Decay,12
6819,98,7011,2024-07-04,Download,1518328.04,Linear,66
6820,256,7063,2025-05-30,Contact,348319.99,Last Click,70
6821,77,13953,2024-01-15,Contact,733640.66,Time Decay,44
6822,311,19229,2025-08-28,Add to Cart,447077.66,Last Click,34
6823,83,19181,2024-10-15,Purchase,507862.65,Time Decay,78
6824,144,6876,2025-04-11,Contact,418645.58,Last Click,33
6825,384,152,2025-08-18,Sign Up,2035516.42,Time Decay,58
6826,246,14876,2024-04-24,Add to Cart,2118192.35,Last Click,6
6827,426,17268,2024-04-25,Download,,First Click,0
6828,86,26330,2024-10-24,Purchase,1384308.9,Last Click,47
6829,49,18132,2024-09-17,Sign Up,971273.58,Linear,37
6830,333,52335,2024-03-29,Sign Up,2166826.25,First Click,61
6831,160,36924,2024-12-11,Contact,374577.95,Linear,85
6832,45,48829,2025-09-03,Purchase,407979.95,First Click,66
6833,198,9019,2023-12-11,Sign Up,1292559.1,Time Decay,66
6834,78,59022,2025-05-17,Purchase,2297725.38,Linear,39
6835,291,52002,2024-12-28,Contact,850293.53,Last Click,34
6836,87,14785,2024-05-13,Sign Up,457775.81,Last Click,4
6837,468,10112,2025-03-21,Contact,1288667.92,Linear,89
6838,85,45070,2023-12-01,Contact,447155.36,Time Decay,28
6839,25,30222,2023-11-14,Purchase,2341613.79,Last Click,75
6840,173,30134,2024-01-14,Add to Cart,2371859.46,Last Click,41
6841,460,25166,2025-04-01,Contact,1439175.17,First Click,55
6842,30,15058,2024-10-25,Download,2103560.79,First Click,14
6843,46,54431,2024-01-22,Add to Cart,1680256.52,Last Click,53
6844,292,10355,2024-06-26,Contact,2594324.74,Time Decay,54
6845,49,20332,2023-12-16,Download,1760822.74,Time Decay,61
6846,47,22406,2025-07-18,Add to Cart,1361328.66,First Click,82
6847,427,16027,2025-01-18,Download,1086131.93,Linear,86
6848,64,11133,2025-01-31,Purchase,191648.09,First Click,14
6849,40,19986,2024-10-26,Contact,522857.03,First Click,90
6850,444,46697,2025-06-23,Add to Cart,965452.05,Linear,46
6851,137,52206,2025-04-28,Sign Up,1445173.08,Linear,86
6852,264,59317,2025-10-30,Add to Cart,1386103.58,Last Click,6
6853,159,34162,2023-12-12,Download,695738.53,Last Click,10
6854,369,41304,2025-02-11,Download,,Last Click,65
6855,471,13022,2024-02-13,Purchase,2208095.82,Time Decay,72
6856,141,1858,2025-01-23,Add to Cart,2930852.63,Time Decay,57
6857,153,14778,2025-07-24,Download,2784214.83,Last Click,21
6858,55,37611,2024-04-27,Download,1183615.52,Last Click,55
6859,392,22126,2024-11-29,Contact,1754976.41,First Click,0
6860,40,25454,2024-05-04,Contact,533303.87,First Click,68
6861,368,37110,2025-09-21,Download,645986.43,Last Click,37
6862,198,49770,2025-01-06,Purchase,2783434.37,First Click,65
6863,240,55944,2024-02-27,Add to Cart,1407626.43,Time Decay,34
6864,324,8283,2025-07-15,Contact,2014950.01,First Click,28
6865,377,18671,2024-04-11,Contact,1407501.59,Time Decay,18
6866,273,4827,2023-11-20,Add to Cart,2005513.06,Linear,69
6867,216,1884,2025-06-30,Contact,2960970.96,Linear,90
6868,441,38733,2024-02-26,Purchase,368847.94,Time Decay,72
6869,452,18527,2025-06-09,Download,2028435.21,Last Click,86
6870,278,42845,2025-06-11,Download,1169734.87,Last Click,35
6871,333,45301,2024-10-16,Purchase,892583.4,Time Decay,90
6872,394,50271,2024-06-30,Sign Up,1516647.01,Last Click,34
6873,403,46955,2025-09-02,Sign Up,1768988.75,First Click,87
6874,401,54865,2025-08-29,Add to Cart,1396764.89,First Click,16
6875,57,16922,2024-03-09,Contact,91052.99,Linear,6
6876,161,7299,2024-06-05,Contact,943345.03,Linear,7
6877,435,47299,2024-08-24,Purchase,2280368.21,Linear,25
6878,442,10050,2024-11-04,Contact,86688.87,Time Decay,43
6879,222,46812,2025-04-13,Add to Cart,515673.66,First Click,3
6880,465,24759,2024-08-04,Sign Up,2998196.41,Last Click,90
6881,389,56715,2024-10-30,Sign Up,1204457.03,Last Click,22
6882,457,59926,2025-09-06,Add to Cart,1711059.61,Last Click,27
6883,82,33952,2023-12-24,Purchase,2415946.48,Last Click,31
6884,10,8899,2025-08-12,Purchase,1555454.3,Time Decay,23
6885,329,48379,2023-12-31,Add to Cart,878809.82,First Click,55
6886,36,55702,2023-12-13,Contact,2584423.95,Last Click,85
6887,153,37419,2025-10-26,Sign Up,1349668.09,Linear,25
6888,423,22402,2025-08-14,Purchase,2929696.77,Time Decay,32
6889,103,43080,2024-09-29,Purchase,124095.56,Linear,20
6890,46,53913,2025-07-09,Sign Up,1061840.93,Linear,24
6891,75,24068,2024-02-20,Add to Cart,607910.84,First Click,43
6892,14,3114,2024-01-26,Contact,329825.24,First Click,45
6893,433,46117,2024-02-17,Download,2854157.7,Time Decay,22
6894,37,54694,2024-12-26,Download,617222.55,First Click,35
6895,267,31261,2024-06-28,Download,431003.01,Last Click,84
6896,2,20067,2024-08-28,Download,2360206.6,First Click,74
6897,442,31933,2024-04-26,Download,2498502.92,Time Decay,35
6898,325,46580,2023-11-20,Sign Up,168419.22,Time Decay,64
6899,371,19494,2025-03-01,Sign Up,,First Click,81
6900,24,17144,2024-10-02,Download,1345228.88,Linear,36
6901,336,1253,2024-07-16,Purchase,1579902.45,Linear,26
6902,117,38343,2025-05-18,Download,2631238.83,Linear,40
6903,202,53731,2025-02-19,Sign Up,863348.81,Linear,41
6904,136,25663,2025-08-31,Sign Up,1388697.57,First Click,85
6905,492,12185,2025-09-17,Download,2795225.65,Time Decay,76
6906,206,35427,2024-11-04,Contact,,Last Click,88
6907,162,53639,2024-12-29,Contact,2679465.09,Time Decay,12
6908,269,49577,2025-03-14,Purchase,1617515.61,Time Decay,34
6909,417,7730,2025-04-21,Sign Up,1104816.22,Time Decay,85
6910,296,55711,2024-09-14,Sign Up,910030.51,Linear,11
6911,214,3082,2024-05-04,Download,2564597.82,Time Decay,24
6912,33,46120,2025-02-05,Download,2603396.2,Time Decay,40
6913,76,14947,2025-06-21,Sign Up,1337928.38,Last Click,19
6914,457,19699,2025-07-08,Purchase,2585653.9,First Click,24
6915,162,42593,2025-09-21,Purchase,1999503.03,Last Click,26
6916,213,53455,2024-08-17,Sign Up,1034296.19,First Click,5
6917,212,6019,2025-07-25,Contact,1934272.76,Time Decay,19
6918,48,24015,2025-06-05,Contact,1612852.24,Time Decay,34
6919,458,13277,2024-09-17,Purchase,1608036.19,First Click,90
6920,110,36526,2025-01-23,Contact,988637.32,Last Click,47
6921,481,12519,2025-07-09,Download,2699499.69,Time Decay,60
6922,353,56140,2024-10-26,Add to Cart,93016.84,First Click,42
6923,377,4011,2024-09-04,Purchase,753195.96,Time Decay,59
6924,171,51737,2023-12-17,Add to Cart,2274426.34,Time Decay,38
6925,280,47920,2023-12-24,Contact,873251.64,First Click,75
6926,399,15082,2024-03-06,Download,2238596.57,First Click,57
6927,351,13403,2025-10-16,Download,1286109.77,Time Decay,4
6928,468,10956,2025-04-08,Sign Up,265169.9,Last Click,16
6929,196,42573,2024-02-23,Add to Cart,2852595.46,First Click,56
6930,186,51711,2025-01-27,Download,573593.7,Time Decay,82
6931,421,3308,2024-09-16,Sign Up,152462.92,Time Decay,19
6932,77,14845,2024-07-15,Contact,1934106.56,First Click,29
6933,61,39769,2024-03-03,Contact,157000.04,Linear,9
6934,33,36052,2024-07-14,Download,2867217.02,Last Click,45
6935,145,50009,2024-05-25,Download,860925.35,Last Click,20
6936,235,48678,2025-07-08,Purchase,2664588.19,Last Click,61
6937,61,32988,2024-07-23,Add to Cart,388796.26,First Click,52
6938,263,15948,2024-09-30,Download,1234493.08,Last Click,51
6939,49,17513,2025-08-23,Sign Up,311834.88,Linear,79
6940,321,3076,2024-01-02,Contact,187772.9,First Click,19
6941,23,47505,2024-03-08,Add to Cart,1903167.37,First Click,39
6942,102,6048,2025-08-02,Add to Cart,324246.98,Last Click,26
6943,423,14950,2024-01-30,Sign Up,2236043.61,Last Click,36
6944,296,43275,2025-01-17,Add to Cart,203215.82,Last Click,90
6945,313,46679,2025-07-31,Purchase,2315737.63,Last Click,13
6946,402,26768,2025-07-31,Contact,2236187.6,First Click,10
6947,95,10882,2025-05-23,Add to Cart,705076.29,Linear,13
6948,339,39968,2025-02-22,Sign Up,2888692.75,Last Click,88
6949,491,36523,2024-09-03,Purchase,2972923.06,First Click,46
6950,63,46090,2024-07-26,Contact,1312118.75,Time Decay,78
6951,204,14630,2024-10-26,Sign Up,1549822.52,Linear,22
6952,127,32565,2025-04-02,Add to Cart,1201058.41,Linear,37
6953,228,30100,2024-03-20,Purchase,1723329.79,Last Click,24
6954,30,51252,2024-07-07,Add to Cart,1300521.0,Last Click,79
6955,482,47217,2024-02-20,Contact,1523529.83,Time Decay,44
6956,148,2917,2025-08-12,Purchase,176880.96,Linear,8
6957,458,17493,2024-02-20,Contact,1138490.22,Linear,41
6958,446,56814,2024-09-18,Contact,471527.39,First Click,45
6959,439,33222,2025-05-16,Add to Cart,1199910.05,Time Decay,71
6960,428,6817,2024-08-21,Purchase,151406.35,First Click,21
6961,448,12003,2025-08-26,Sign Up,958155.86,Time Decay,71
6962,329,21387,2024-06-06,Contact,2214044.13,Linear,28
6963,374,26836,2024-08-27,Download,2691230.34,Last Click,2
6964,59,17870,2025-02-22,Purchase,2029034.92,Time Decay,44
6965,69,55984,2025-05-15,Download,1575853.18,Linear,22
6966,442,21890,2025-07-04,Purchase,2075418.46,Last Click,12
6967,168,44908,2024-02-13,Purchase,2488081.31,Linear,74
6968,63,16241,2025-07-14,Purchase,475158.92,Last Click,51
6969,296,4111,2023-12-31,Purchase,1348111.47,Linear,83
6970,172,54987,2025-05-03,Add to Cart,,Time Decay,88
6971,127,30647,2024-04-30,Contact,1579280.1,Time Decay,73
6972,42,5065,2025-05-02,Add to Cart,1375102.27,First Click,27
6973,98,38903,2025-03-25,Sign Up,1966579.29,Last Click,67
6974,403,36123,2024-08-29,Purchase,451511.1,Linear,82
6975,361,22563,2025-10-25,Purchase,2464652.03,Last Click,66
6976,363,26981,2025-07-09,Purchase,1556907.49,First Click,23
6977,375,22434,2024-11-14,Contact,1235818.47,First Click,61
6978,48,52747,2025-07-05,Purchase,1044706.04,Time Decay,81
6979,376,1375,2024-09-19,Purchase,2633776.33,Linear,84
6980,398,14565,2025-08-30,Purchase,1785669.88,Last Click,18
6981,369,38307,2025-02-16,Purchase,1603641.39,First Click,84
6982,275,5559,2025-09-16,Add to Cart,2883909.29,First Click,84
6983,217,47035,2024-11-15,Contact,394096.64,Time Decay,50
6984,69,36931,2024-04-18,Contact,893479.71,Last Click,72
6985,47,30104,2025-06-20,Purchase,554039.61,First Click,72
6986,185,54070,2024-09-02,Sign Up,1483939.16,Time Decay,25
6987,267,48333,2025-07-31,Sign Up,668297.56,Linear,39
6988,24,1730,2025-09-09,Contact,2458389.32,First Click,50
6989,181,52063,2025-10-16,Add to Cart,271531.22,Linear,22
6990,209,20674,2024-04-11,Add to Cart,1339793.5,Linear,85
6991,448,19087,2025-08-18,Purchase,2261287.78,Linear,90
6992,102,58793,2024-03-05,Add to Cart,2716228.7,Last Click,76
6993,434,59944,2023-11-25,Contact,303293.96,Linear,78
6994,365,53980,2024-10-10,Sign Up,127460.44,Time Decay,75
6995,121,3206,2024-07-06,Purchase,1695349.12,Last Click,33
6996,59,36156,2024-10-20,Add to Cart,2163089.61,Last Click,86
6997,279,46884,2025-07-30,Purchase,2655756.47,Linear,60
6998,175,9366,2024-06-08,Contact,812794.0,Time Decay,89
6999,361,20894,2024-05-09,Purchase,181368.42,Time Decay,6
7000,96,3987,2024-04-29,Download,2096870.57,First Click,57
7001,304,14457,2025-05-02,Contact,1271989.25,First Click,66
7002,232,49955,2025-01-17,Purchase,2656006.91,Linear,22
7003,129,42492,2024-11-09,Purchase,2282845.34,Linear,59
7004,477,29153,2024-07-08,Contact,1432148.06,First Click,29
7005,61,33671,2025-01-24,Sign Up,1457689.88,First Click,25
7006,370,50431,2024-02-20,Download,2281360.14,Time Decay,58
7007,329,9249,2024-12-09,Contact,698142.47,Last Click,8
7008,209,9506,2024-08-03,Download,399429.14,Time Decay,55
7009,368,11921,2023-12-04,Purchase,1264139.34,First Click,1
7010,214,23782,2025-02-16,Download,663663.35,First Click,63
7011,10,56883,2024-05-17,Purchase,890402.51,First Click,45
7012,74,23740,2025-04-22,Sign Up,2862825.53,Linear,44
7013,416,56572,2025-01-05,Contact,1545634.55,Linear,78
7014,370,20920,2023-12-30,Add to Cart,1991168.38,First Click,42
7015,95,59890,2025-01-02,Add to Cart,2306494.61,First Click,82
7016,145,54175,2025-11-09,Purchase,1162980.74,First Click,21
7017,49,52586,2024-12-23,Contact,1275349.33,Linear,40
7018,9,33154,2025-03-11,Download,831109.86,First Click,77
7019,10,6898,2025-01-28,Contact,2138475.59,First Click,16
7020,500,50289,2024-09-15,Contact,259172.63,Last Click,38
7021,467,14133,2025-05-15,Download,2570585.58,Last Click,7
7022,76,16106,2024-08-08,Download,1096752.62,Last Click,16
7023,74,55523,2025-03-17,Download,2175356.18,First Click,19
7024,353,42971,2024-09-25,Sign Up,1729386.78,Last Click,84
7025,99,51118,2024-12-04,Download,2390048.93,First Click,63
7026,19,46733,2024-10-15,Download,83784.85,Linear,20
7027,201,54193,2024-07-27,Purchase,761088.86,Time Decay,46
7028,222,58852,2025-01-01,Contact,2221476.92,Last Click,49
7029,9,24095,2024-09-03,Add to Cart,494754.92,First Click,39
7030,479,49725,2024-10-30,Sign Up,1160439.84,Last Click,60
7031,270,13709,2025-03-23,Contact,361867.65,Last Click,11
7032,380,37869,2025-02-07,Download,2683480.71,Time Decay,38
7033,50,30722,2025-07-17,Download,2992672.58,Linear,7
7034,114,28267,2023-11-28,Download,1366413.84,Last Click,32
7035,494,57353,2025-10-25,Sign Up,504038.39,Time Decay,81
7036,384,32253,2024-02-07,Sign Up,1503527.43,Time Decay,30
7037,166,16065,2024-10-06,Download,928151.22,Linear,43
7038,116,33180,2025-04-07,Download,2464022.34,Time Decay,82
7039,308,11667,2025-04-07,Purchase,879909.85,First Click,36
7040,491,46392,2025-05-12,Purchase,2307716.88,Linear,69
7041,154,28529,2024-02-19,Contact,2572309.74,First Click,14
7042,454,36096,2024-01-26,Sign Up,231614.39,Time Decay,29
7043,114,47302,2024-01-01,Download,981321.22,Time Decay,7
7044,108,17109,2025-02-23,Add to Cart,1397169.43,Last Click,73
7045,402,23788,2024-09-12,Purchase,1009269.36,First Click,41
7046,128,31756,2024-11-22,Contact,1907882.63,First Click,20
7047,263,49328,2025-02-20,Contact,1394643.45,First Click,12
7048,455,14337,2024-07-31,Download,139437.08,Linear,34
7049,177,2636,2023-12-23,Download,2257278.0,Time Decay,87
7050,365,41816,2024-05-16,Add to Cart,2673644.62,Time Decay,12
7051,474,30499,2024-04-11,Purchase,2904238.92,Linear,24
7052,371,24362,2025-05-19,Purchase,2610362.47,Time Decay,12
7053,452,50992,2025-10-16,Download,2291191.41,Time Decay,52
7054,127,16289,2024-09-27,Add to Cart,2750759.26,Time Decay,47
7055,149,7681,2025-09-28,Sign Up,1787684.37,Last Click,74
7056,484,50110,2024-02-27,Download,2332897.88,Last Click,18
7057,431,7316,2024-11-08,Contact,2218240.25,Time Decay,3
7058,55,25805,2024-09-30,Sign Up,1263269.93,First Click,37
7059,232,59376,2024-12-25,Download,997863.44,First Click,31
7060,339,19911,2024-01-25,Sign Up,2913523.05,Linear,11
7061,384,8359,2025-01-02,Sign Up,1829824.17,Last Click,43
7062,323,29370,2025-02-15,Contact,357459.09,Time Decay,12
7063,417,47362,2024-04-25,Download,2252544.79,Last Click,71
7064,190,1532,2025-10-25,Purchase,2021801.1,Time Decay,52
7065,494,3654,2024-01-17,Sign Up,2563174.58,Time Decay,87
7066,162,48389,2025-09-18,Add to Cart,1821009.49,Time Decay,89
7067,86,35162,2025-09-22,Download,1504894.13,First Click,41
7068,233,19925,2025-10-21,Sign Up,327889.93,First Click,32
7069,32,37202,2025-01-25,Add to Cart,2219512.48,Linear,62
7070,162,40804,2023-12-28,Purchase,2373732.79,First Click,24
7071,229,12239,2024-01-07,Sign Up,696137.52,First Click,61
7072,316,55342,2024-12-03,Contact,2744434.34,Time Decay,63
7073,14,35325,2025-06-17,Purchase,2264772.91,First Click,84
7074,124,13257,2024-01-19,Purchase,2923004.96,Last Click,14
7075,45,19308,2024-01-01,Purchase,1408173.06,Last Click,68
7076,124,31271,2025-09-30,Contact,2304582.51,Linear,51
7077,123,14001,2025-07-20,Add to Cart,2875500.18,First Click,39
7078,373,2750,2023-12-17,Sign Up,2633140.51,Time Decay,13
7079,45,57740,2024-03-08,Add to Cart,2398481.36,Linear,89
7080,144,17992,2024-09-29,Sign Up,1427117.5,Last Click,16
7081,218,17535,2024-06-25,Contact,1260237.3,Last Click,1
7082,205,21263,2025-10-30,Contact,2591906.73,Linear,70
7083,6,21769,2024-11-25,Add to Cart,828879.69,Time Decay,79
7084,337,10349,2024-10-26,Sign Up,2613348.16,Last Click,13
7085,63,7637,2024-11-28,Sign Up,2975048.16,Linear,17
7086,103,29956,2025-01-24,Purchase,608212.9,Last Click,82
7087,8,53014,2024-08-30,Sign Up,1334612.34,First Click,48
7088,272,26107,2025-09-24,Purchase,505209.94,First Click,10
